Word,Language,Count,Count_Log
bloomberg,en,60,4.110873864173311
data,en,59,4.0943445622221
analysis,en,58,4.07753744390572
audio,en,58,4.07753744390572
comments,en,58,4.07753744390572
opinion,en,58,4.07753744390572
privacy,en,58,4.07753744390572
view,en,58,4.07753744390572
content,en,57,4.060443010546419
september,en,57,4.060443010546419
big,en,56,4.04305126783455
future,en,56,4.04305126783455
heres,en,56,4.04305126783455
airpods,en,53,3.9889840465642745
images,en,53,3.9889840465642745
apples,en,52,3.970291913552122
podcasts,en,51,3.9512437185814275
sign,en,51,3.9512437185814275
could,en,50,3.9318256327243257
tiny,en,50,3.9318256327243257
use,en,50,3.9318256327243257
climate,en,49,3.912023005428146
markets,en,49,3.912023005428146
stocks,en,49,3.912023005428146
companies,en,48,3.8918202981106265
free,en,48,3.8918202981106265
like,en,48,3.8918202981106265
science,en,47,3.871201010907891
desk,en,46,3.8501476017100584
know,en,46,3.8501476017100584
premium,en,46,3.8501476017100584
reviews,en,46,3.8501476017100584
entertainment,en,45,3.828641396489095
listen,en,45,3.828641396489095
price,en,45,3.828641396489095
ratings,en,45,3.828641396489095
save,en,45,3.828641396489095
terms,en,45,3.828641396489095
work,en,45,3.828641396489095
concert,en,44,3.8066624897703196
minutes,en,44,3.8066624897703196
money,en,44,3.8066624897703196
need,en,44,3.8066624897703196
people,en,44,3.8066624897703196
china,en,43,3.784189633918261
gaming,en,43,3.784189633918261
global,en,43,3.784189633918261
make,en,43,3.784189633918261
next,en,43,3.784189633918261
right,en,43,3.784189633918261
streaming,en,43,3.784189633918261
times,en,43,3.784189633918261
techcrunch,en,42,3.7612001156935624
technology,en,42,3.7612001156935624
follow,en,41,3.7376696182833684
kirks,en,41,3.7376696182833684
stock,en,41,3.7376696182833684
ideas,en,40,3.713572066704308
locked,en,40,3.713572066704308
shooting,en,40,3.713572066704308
software,en,40,3.713572066704308
support,en,40,3.713572066704308
toggle,en,40,3.713572066704308
smart,en,39,3.6888794541139363
days,en,38,3.6635616461296463
getty,en,38,3.6635616461296463
market,en,38,3.6635616461296463
travel,en,38,3.6635616461296463
trumps,en,38,3.6635616461296463
better,en,37,3.6375861597263857
company,en,37,3.6375861597263857
europe,en,37,3.6375861597263857
explore,en,37,3.6375861597263857
search,en,37,3.6375861597263857
killing,en,36,3.6109179126442243
play,en,36,3.6109179126442243
events,en,35,3.58351893845611
two,en,35,3.58351893845611
comment,en,34,3.5553480614894135
fbi,en,34,3.5553480614894135
internet,en,34,3.5553480614894135
york,en,34,3.5553480614894135
arts,en,33,3.5263605246161616
daily,en,33,3.5263605246161616
dont,en,33,3.5263605246161616
economy,en,33,3.5263605246161616
etfs,en,33,3.5263605246161616
every,en,33,3.5263605246161616
hide,en,33,3.5263605246161616
may,en,33,3.5263605246161616
political,en,33,3.5263605246161616
russia,en,33,3.5263605246161616
russian,en,33,3.5263605246161616
series,en,33,3.5263605246161616
show,en,33,3.5263605246161616
social,en,33,3.5263605246161616
year,en,33,3.5263605246161616
ceo,en,32,3.4965075614664802
digital,en,32,3.4965075614664802
features,en,32,3.4965075614664802
music,en,32,3.4965075614664802
newsletter,en,32,3.4965075614664802
today,en,32,3.4965075614664802
updates,en,32,3.4965075614664802
war,en,32,3.4965075614664802
way,en,32,3.4965075614664802
everything,en,31,3.4657359027997265
sports,en,31,3.4657359027997265
story,en,31,3.4657359027997265
week,en,31,3.4657359027997265
worlds,en,31,3.4657359027997265
add,en,30,3.4339872044851463
asia,en,30,3.4339872044851463
epstein,en,30,3.4339872044851463
feature,en,30,3.4339872044851463
google,en,30,3.4339872044851463
government,en,30,3.4339872044851463
interest,en,30,3.4339872044851463
phones,en,30,3.4339872044851463
plus,en,30,3.4339872044851463
report,en,30,3.4339872044851463
service,en,30,3.4339872044851463
south,en,30,3.4339872044851463
tvs,en,30,3.4339872044851463
wont,en,30,3.4339872044851463
electric,en,29,3.4011973816621555
energy,en,29,3.4011973816621555
games,en,29,3.4011973816621555
poland,en,29,3.4011973816621555
real,en,29,3.4011973816621555
take,en,29,3.4011973816621555
violence,en,29,3.4011973816621555
biggest,en,28,3.367295829986474
buy,en,28,3.367295829986474
cnn,en,28,3.367295829986474
contact,en,28,3.367295829986474
edition,en,28,3.367295829986474
editors,en,28,3.367295829986474
expert,en,28,3.367295829986474
guide,en,28,3.367295829986474
investing,en,28,3.367295829986474
love,en,28,3.367295829986474
middle,en,28,3.367295829986474
movies,en,28,3.367295829986474
space,en,28,3.367295829986474
utc,en,28,3.367295829986474
access,en,27,3.332204510175204
podcast,en,27,3.332204510175204
power,en,27,3.332204510175204
les,fr,43,3.784189633918261
